ID,Year_Birth,Education,Marital_Status,Income,KidsInHome,TeensInHome,CustomerJoinDate,AmmountSpentOnWine,AmmountSpentOnFruit,AmmountSpentOnMeatProducts,AmmountSpentOnFish,AmmountSpentOnSweetProducts,AmmountSpentOnGold,NumberPurchasesWithDiscount,NumberOfWebPurchases,NumberOfCatalogPurchases,NumberOfStorePurchases,NumberOfWebsiteVisits,Accepted3rdCampaignOffer,Accepted4thCampaignOffer,Accepted5thCampaignOffer,Accepted1stCampaignOffer,Accepted2ndCampaignOffer,ComplainedInLast2Years,AcceptedLastCampaignOffer,Age,Revenue,Purchases,AverageOrderValue,MostRecentPurchase,AcceptedAnyCampaignOrDiscount,CustomerComplainedRecently
1,1953,Graduation,Single,40464,0,1,11/1/13,424,17,118,7,23,41,6,8,2,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2,1960,Graduation,Widow,47916,0,1,11/22/12,505,0,26,0,0,75,5,7,4,6,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
3,1972,Basic,Married,14188,0,0,2/28/13,1.88,7,11,16,12,27,1,2,0,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
4,1969,Graduation,Together,76653,0,0,8/16/13,720.52,63,946,219,189,126,1,4,7,11,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,54,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
5,1958,Graduation,Together,65196,0,3,7/25/13,743,19,181,12,0,200,2,7,6,10,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
6,1958,Graduation,Together,53977,0,1,8/6/13,620,16,165,0,24,82,5,5,5,13,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
7,1960,Master,Together,73113,0,0,12/26/13,741,19,154,50,9,28,1,3,4,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
8,1957,Graduation,Married,71113,0,1,12/17/13,495,33,255,11,33,8,4,6,7,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
9,1983,Graduation,Single,22148,0,0,4/13/14,14.38,5,14,0,4,11,1,1,0,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
10,1982,Graduation,Married,22448,1,0,2/26/14,3.22,1,8,23,2,18,3,2,1,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
