model task peak_validity final_validity category size_b
gemma-2-9b Mixed 0.9067 0.7747 2 9.0
gemma-2-9b T1 1.0000 1.0000 2 9.0
gemma-2-9b T2 1.0000 1.0000 2 9.0
gemma-2-9b T3 1.0000 1.0000 2 9.0
gemma-2-9b T4 1.0000 0.9893 2 9.0
gemma-2-9b T5 0.4400 0.3779 1 9.0
gemma-3-12b T1 1.0000 1.0000 2 12.0
gemma-3-12b T3 1.0000 1.0000 2 12.0
gemma-3-12b T4 1.0000 0.9980 2 12.0
llama-3.1-8b Mixed 0.8095 0.4315 1 8.0
llama-3.1-8b T1 1.0000 1.0000 2 8.0
llama-3.1-8b T2 1.0000 1.0000 2 8.0
llama-3.1-8b T3 0.0067 0.0016 0 8.0
llama-3.1-8b T4 1.0000 0.9932 2 8.0
llama-3.1-8b T5 0.0133 0.0049 0 8.0
llama-3.2-1b Mixed 0.6933 0.1989 1 1.0
llama-3.2-1b T1 1.0000 1.0000 2 1.0
llama-3.2-1b T2 1.0000 0.9765 2 1.0
llama-3.2-1b T3 0.0067 0.0000 0 1.0
llama-3.2-1b T4 1.0000 0.9908 2 1.0
llama-3.2-1b T5 0.0067 0.0000 0 1.0
llama-3.2-3b Mixed 0.7067 0.1749 1 3.0
llama-3.2-3b T1 1.0000 1.0000 2 3.0
llama-3.2-3b T2 1.0000 0.9945 2 3.0
llama-3.2-3b T3 0.0333 0.0000 0 3.0
llama-3.2-3b T4 1.0000 0.9955 2 3.0
llama-3.2-3b T5 0.0000 0.0000 0 3.0
ministral-8b Mixed 1.0000 0.6645 2 8.0
ministral-8b T1 1.0000 1.0000 2 8.0
ministral-8b T2 1.0000 0.9796 2 8.0
ministral-8b T3 0.6733 0.6667 2 8.0
ministral-8b T4 1.0000 1.0000 2 8.0
ministral-8b T5 0.0133 0.0000 0 8.0
mistral-7b-v0.3 Mixed 0.7267 0.1555 1 7.0
mistral-7b-v0.3 T1 1.0000 0.9963 2 7.0
mistral-7b-v0.3 T2 0.6667 0.6667 2 7.0
mistral-7b-v0.3 T3 0.0067 0.0000 0 7.0
mistral-7b-v0.3 T4 1.0000 0.9789 2 7.0
mistral-7b-v0.3 T5 0.0067 0.0000 0 7.0
phi-3-mini Mixed 0.7400 0.6823 2 3.8
phi-3-mini T1 1.0000 0.9884 2 3.8
phi-3-mini T2 0.1333 0.0000 0 3.8
phi-3-mini T3 0.0400 0.0000 0 3.8
phi-3-mini T4 1.0000 0.9840 2 3.8
phi-3-mini T5 0.0000 0.0000 0 3.8
qwen2.5-3b Mixed 1.0000 0.7012 2 3.0
qwen2.5-3b T1 1.0000 1.0000 2 3.0
qwen2.5-3b T2 1.0000 0.9893 2 3.0
qwen2.5-3b T3 1.0000 0.6667 2 3.0
qwen2.5-3b T4 1.0000 0.9993 2 3.0
qwen2.5-3b T5 0.0333 0.0000 0 3.0
qwen3-4b Mixed 0.9733 0.8625 2 4.0
qwen3-4b T1 1.0000 1.0000 2 4.0
qwen3-4b T2 1.0000 0.9933 2 4.0
qwen3-4b T3 1.0000 1.0000 2 4.0
qwen3-4b T4 1.0000 0.9959 2 4.0
qwen3-4b T5 1.0000 0.4799 1 4.0
yi-1.5-6b Mixed 0.8889 0.0000 1 6.0
yi-1.5-6b T1 1.0000 0.9883 2 6.0
yi-1.5-6b T2 0.9933 0.9804 2 6.0
yi-1.5-6b T3 0.0833 0.0000 0 6.0
yi-1.5-6b T4 1.0000 0.9675 2 6.0
yi-1.5-6b T5 0.0267 0.0000 0 6.0
