model task size_b category peak_validity final_validity decay_rate peak_step
llama-3.2-1b Mixed 1.0 transient 0.6933 0.1989 0.7131 509
llama-3.2-1b T1 1.0 sustained 1.0000 1.0000 0.0000 398
llama-3.2-1b T2 1.0 sustained 1.0000 0.9765 0.0235 399
llama-3.2-1b T3 1.0 flat 0.0067 0.0000 1.0000 586
llama-3.2-1b T4 1.0 sustained 1.0000 0.9908 0.0092 0
llama-3.2-1b T5 1.0 flat 0.0067 0.0000 1.0000 137
llama-3.2-3b Mixed 3.0 transient 0.7067 0.1749 0.7525 568
qwen2.5-3b Mixed 3.0 sustained 1.0000 0.7012 0.2988 0
llama-3.2-3b T1 3.0 sustained 1.0000 1.0000 0.0000 454
qwen2.5-3b T1 3.0 sustained 1.0000 1.0000 0.0000 0
llama-3.2-3b T2 3.0 sustained 1.0000 0.9945 0.0055 215
qwen2.5-3b T2 3.0 sustained 1.0000 0.9893 0.0107 0
llama-3.2-3b T3 3.0 flat 0.0333 0.0000 1.0000 9
qwen2.5-3b T3 3.0 sustained 1.0000 0.6667 0.3333 0
llama-3.2-3b T4 3.0 sustained 1.0000 0.9955 0.0045 0
qwen2.5-3b T4 3.0 sustained 1.0000 0.9993 0.0007 0
llama-3.2-3b T5 3.0 flat 0.0000 0.0000 0.0000 0
qwen2.5-3b T5 3.0 flat 0.0333 0.0000 1.0000 251
phi-3-mini Mixed 3.8 sustained 0.7400 0.6823 0.0000 999
phi-3-mini T1 3.8 sustained 1.0000 0.9884 0.0116 0
phi-3-mini T2 3.8 flat 0.1333 0.0000 1.0000 57
phi-3-mini T3 3.8 flat 0.0400 0.0000 1.0000 201
phi-3-mini T4 3.8 sustained 1.0000 0.9840 0.0160 0
phi-3-mini T5 3.8 flat 0.0000 0.0000 0.0000 0
qwen3-4b Mixed 4.0 sustained 0.9733 0.8625 0.1138 564
qwen3-4b T1 4.0 sustained 1.0000 1.0000 0.0000 0
qwen3-4b T2 4.0 sustained 1.0000 0.9933 0.0067 91
qwen3-4b T3 4.0 sustained 1.0000 1.0000 0.0000 122
qwen3-4b T4 4.0 sustained 1.0000 0.9959 0.0041 0
qwen3-4b T5 4.0 transient 1.0000 0.4799 0.5201 0
yi-1.5-6b Mixed 6.0 transient 0.8889 0.0000 1.0000 2
yi-1.5-6b T1 6.0 sustained 1.0000 0.9883 0.0117 863
yi-1.5-6b T2 6.0 sustained 0.9933 0.9804 0.0130 829
yi-1.5-6b T3 6.0 flat 0.0833 0.0000 1.0000 3
yi-1.5-6b T4 6.0 sustained 1.0000 0.9675 0.0325 0
yi-1.5-6b T5 6.0 flat 0.0267 0.0000 1.0000 94
mistral-7b-v0.3 Mixed 7.0 transient 0.7267 0.1555 0.7861 318
mistral-7b-v0.3 T1 7.0 sustained 1.0000 0.9963 0.0037 0
mistral-7b-v0.3 T2 7.0 sustained 0.6667 0.6667 0.0000 295
mistral-7b-v0.3 T3 7.0 flat 0.0067 0.0000 1.0000 269
mistral-7b-v0.3 T4 7.0 sustained 1.0000 0.9789 0.0211 0
mistral-7b-v0.3 T5 7.0 flat 0.0067 0.0000 1.0000 82
llama-3.1-8b Mixed 8.0 transient 0.8095 0.4315 0.4670 6
ministral-8b Mixed 8.0 sustained 1.0000 0.6645 0.3355 0
llama-3.1-8b T1 8.0 sustained 1.0000 1.0000 0.0000 209
ministral-8b T1 8.0 sustained 1.0000 1.0000 0.0000 0
llama-3.1-8b T2 8.0 sustained 1.0000 1.0000 0.0000 257
ministral-8b T2 8.0 sustained 1.0000 0.9796 0.0204 0
llama-3.1-8b T3 8.0 flat 0.0067 0.0016 0.7600 912
ministral-8b T3 8.0 sustained 0.6733 0.6667 0.0099 237
llama-3.1-8b T4 8.0 sustained 1.0000 0.9932 0.0068 0
ministral-8b T4 8.0 sustained 1.0000 1.0000 0.0000 0
llama-3.1-8b T5 8.0 flat 0.0133 0.0049 0.6300 296
ministral-8b T5 8.0 flat 0.0133 0.0000 1.0000 150
gemma-2-9b Mixed 9.0 sustained 0.9067 0.7747 0.1456 816
gemma-2-9b T1 9.0 sustained 1.0000 1.0000 0.0000 112
gemma-2-9b T2 9.0 sustained 1.0000 1.0000 0.0000 252
gemma-2-9b T3 9.0 sustained 1.0000 1.0000 0.0000 593
gemma-2-9b T4 9.0 sustained 1.0000 0.9893 0.0107 0
gemma-2-9b T5 9.0 transient 0.4400 0.3779 0.1412 998
gemma-3-12b T1 12.0 sustained 1.0000 1.0000 0.0000 0
gemma-3-12b T3 12.0 sustained 1.0000 1.0000 0.0000 189
gemma-3-12b T4 12.0 sustained 1.0000 0.9980 0.0020 0
