model size_b mixed T1 T2 T3 T4 T5
llama-3.2-1b 1.0 0.2200 1.0000 0.9533 0.0000 0.9867 0.0000
llama-3.2-3b 3.0 0.2267 1.0000 0.9933 0.0000 1.0000 0.0000
qwen2.5-3b 3.0 0.7600 1.0000 1.0000 0.6667 1.0000 0.0000
phi-3-mini 3.8 0.7400 1.0000 0.0000 0.0000 1.0000 0.0000
qwen3-4b 4.0 0.9000 1.0000 0.9867 1.0000 1.0000 0.4933
yi-1.5-6b 6.0 0.0000 0.9800 0.9867 0.0000 0.9933 0.0000
mistral-7b-v0.3 7.0 0.1467 0.9933 0.6667 0.0000 0.9933 0.0000
ministral-8b 8.0 0.7333 1.0000 0.9800 0.6667 1.0000 0.0000
llama-3.1-8b 8.0 0.4533 1.0000 1.0000 0.0000 1.0000 0.0000
gemma-2-9b 9.0 0.8200 1.0000 1.0000 1.0000 1.0000 0.4400
