model r_schema r_residual r_latency r_cost mean_reward
gemma-2-9b 0.7858 1.1594 -0.3416 -0.0319 1.5716
gemma-3-12b 0.9629 1.4278 -0.4312 -0.0336 1.9258
llama-3.1-8b 0.5762 1.1396 -0.4996 -0.0638 1.1524
llama-3.2-1b 0.5455 0.7203 -0.1305 -0.0443 1.0910
llama-3.2-3b 0.5565 0.9520 -0.3376 -0.0580 1.1130
ministral-8b 0.7050 1.0665 -0.3249 -0.0366 1.4100
mistral-7b-v0.3 0.5026 0.9134 -0.3643 -0.0465 1.0052
phi-3-mini 0.4132 0.9307 -0.4547 -0.0627 0.8264
qwen2.5-3b 0.6994 1.0807 -0.3439 -0.0375 1.3988
qwen3-4b 0.8645 1.5152 -0.5890 -0.0616 1.7291
yi-1.5-6b 0.5162 0.9502 -0.3701 -0.0640 1.0323
