# percentile qwen2_5_3b qwen3_4b gemma_2_9b
0.0 278.5 1587.4 929.7
1.0 315.3 2121.2 1205.6
2.0 327.3 2155.4 1283.6
3.0 336.8 2250.3 1344.4
4.0 349.2 2402.5 1394.3
5.0 359.9 2477.8 1421.3
6.0 391.8 2549.9 1453.2
7.0 428.4 2608.1 1466.8
8.0 446.1 2651.5 1485.7
9.0 456.9 2702.2 1498.9
10.0 465.3 2779.9 1511.2
11.0 469.0 2879.5 1530.4
12.0 473.1 2984.9 1553.0
13.0 475.6 3057.0 1570.8
14.0 479.3 3137.6 1585.1
15.0 483.0 3249.9 1600.0
16.0 487.3 3328.3 1615.3
17.0 490.2 3351.2 1628.1
18.0 493.1 3396.8 1638.3
19.0 494.9 3408.0 1649.7
20.0 497.3 3412.3 1663.3
21.0 499.9 3415.4 1677.9
22.0 502.3 3418.0 1689.8
23.0 505.4 3421.2 1702.4
24.0 507.7 3427.1 1720.8
25.0 510.1 3435.4 1731.7
26.0 512.8 3454.4 1748.9
27.0 515.8 3461.9 1765.6
28.0 518.1 3465.9 1785.0
29.0 522.0 3469.4 1807.7
30.0 526.3 3472.4 1838.8
31.0 532.0 3474.4 1875.6
32.0 542.8 3479.0 1931.9
33.0 550.4 3488.4 2017.8
34.0 563.7 3511.1 2114.5
35.0 574.4 3532.1 2199.3
36.0 588.3 3545.5 2358.2
37.0 615.2 3575.6 2520.4
38.0 648.7 3609.9 2752.2
39.0 737.7 3664.5 2797.2
40.0 839.5 3732.1 2819.0
41.0 855.0 3806.5 2842.6
42.0 861.5 3917.8 2864.8
43.0 866.8 4046.2 2877.1
44.0 869.8 4172.3 2886.8
45.0 872.3 4275.0 2896.5
46.0 874.4 4457.9 2907.5
47.0 877.0 4596.7 2914.9
48.0 878.8 4688.8 2923.0
49.0 881.4 4692.8 2933.3
50.0 884.0 4695.4 2944.9
51.0 887.6 4697.8 2957.4
52.0 891.6 4699.8 2970.9
53.0 896.2 4701.9 2992.6
54.0 901.7 4704.3 3026.4
55.0 913.4 4706.9 3085.0
56.0 956.3 4711.0 3327.6
57.0 1392.9 4719.4 4230.6
58.0 1613.8 4733.9 4669.2
59.0 1662.1 4759.5 4944.2
60.0 1719.8 4773.9 5120.4
61.0 1765.6 4795.1 5292.1
62.0 1804.7 4823.5 5413.0
63.0 1840.4 4911.6 5546.7
64.0 1863.4 5213.8 5634.0
65.0 1891.0 5398.0 5722.5
66.0 1915.3 5496.3 5799.2
67.0 1937.6 5592.8 5876.2
68.0 1964.5 5692.0 5939.0
69.0 1987.0 5754.3 5990.5
70.0 2005.4 5837.4 6072.5
71.0 2023.1 5932.7 6127.9
72.0 2044.9 5988.2 6186.3
73.0 2065.4 6061.0 6289.0
74.0 2083.5 6112.5 6356.9
75.0 2105.2 6176.0 6432.5
76.0 2142.9 6235.4 6525.3
77.0 2183.9 6294.9 6585.7
78.0 2206.1 6305.9 6663.3
79.0 2243.2 6355.5 6731.6
80.0 2266.2 6378.2 6792.0
81.0 2298.7 6420.6 6868.7
82.0 2334.4 6448.8 6985.8
83.0 2366.1 6500.2 7106.3
84.0 2398.7 6518.8 7194.2
85.0 2424.1 6575.4 7311.3
86.0 2456.4 6633.9 7443.0
87.0 2504.1 6657.8 7613.2
88.0 2551.1 6717.6 7745.8
89.0 2587.6 6783.4 7881.5
90.0 2634.0 6855.4 8012.9
91.0 2687.2 6927.2 8156.4
92.0 2724.4 7009.1 8377.2
93.0 2782.6 7091.6 8569.0
94.0 2847.4 7263.6 8897.6
95.0 2960.7 7345.9 9262.9
96.0 3119.3 7570.6 9755.7
97.0 3291.1 7734.4 10677.5
98.0 3481.6 8030.9 11926.6
99.0 4187.4 8731.9 14817.9
100.0 115563.4 271454.0 422837.2
