step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
0  0.3333  0.4714  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.6667  0.4714  0.0000  0.0000  1.0000  0.0000  0.3333  0.4714  0.0000  0.0000
10  0.2727  0.0742  0.5152  0.0429  0.4848  0.0429  0.5152  0.0429  0.6970  0.0429  0.6970  0.0429  0.6061  0.0429  0.7879  0.0429  0.6970  0.0429  0.6667  0.0429
20  0.1905  0.0389  0.4444  0.0594  0.3810  0.0000  0.3968  0.0449  0.6508  0.0449  0.5238  0.0389  0.4762  0.0389  0.6032  0.0224  0.5238  0.0389  0.5397  0.0224
30  0.2258  0.0000  0.4301  0.0663  0.3763  0.0152  0.3333  0.0402  0.6989  0.0402  0.4731  0.0152  0.4409  0.0402  0.5376  0.0152  0.4839  0.0263  0.5161  0.0263
40  0.2358  0.0115  0.4228  0.0575  0.3902  0.0345  0.3415  0.0398  0.7642  0.0230  0.4797  0.0304  0.4390  0.0527  0.5772  0.0230  0.4553  0.0115  0.5447  0.0115
50  0.3067  0.0189  0.4600  0.0909  0.4800  0.0283  0.3267  0.0411  0.7933  0.0094  0.4867  0.0249  0.4600  0.0566  0.6333  0.0189  0.4933  0.0094  0.6067  0.0189
60  0.3600  0.0163  0.4533  0.0838  0.5467  0.0377  0.3000  0.0432  0.8400  0.0163  0.4533  0.0340  0.4333  0.0754  0.6400  0.0163  0.4733  0.0094  0.6000  0.0163
70  0.4400  0.0000  0.5133  0.0680  0.6467  0.0249  0.3933  0.0411  0.8867  0.0189  0.5467  0.0573  0.5333  0.0772  0.7333  0.0249  0.5867  0.0094  0.6933  0.0249
80  0.4600  0.0327  0.5000  0.0653  0.6733  0.0189  0.4067  0.0249  0.8733  0.0094  0.5600  0.0432  0.5467  0.0806  0.7600  0.0327  0.5867  0.0094  0.7267  0.0189
90  0.4600  0.0432  0.5067  0.0525  0.7133  0.0189  0.4467  0.0189  0.8133  0.0189  0.5733  0.0340  0.5800  0.0589  0.7400  0.0163  0.6333  0.0094  0.7200  0.0163
100  0.4267  0.0499  0.4733  0.0899  0.6333  0.0340  0.4667  0.0249  0.8000  0.0327  0.5800  0.0163  0.5733  0.0499  0.6733  0.0094  0.6200  0.0000  0.6933  0.0340
110  0.4733  0.0377  0.5133  0.1268  0.6600  0.0432  0.5067  0.0249  0.7933  0.0249  0.6067  0.0249  0.6267  0.0411  0.6933  0.0094  0.6733  0.0094  0.7333  0.0189
120  0.4400  0.0432  0.5067  0.1087  0.6533  0.0377  0.4600  0.0163  0.7800  0.0163  0.5667  0.0249  0.5867  0.0377  0.6600  0.0000  0.6267  0.0094  0.7067  0.0094
130  0.4467  0.0340  0.5267  0.0929  0.6333  0.0377  0.4400  0.0283  0.7867  0.0094  0.5200  0.0163  0.5400  0.0283  0.6400  0.0000  0.6200  0.0000  0.7000  0.0327
140  0.4867  0.0189  0.5400  0.0653  0.6333  0.0249  0.4267  0.0249  0.8267  0.0094  0.4867  0.0094  0.5267  0.0249  0.6467  0.0094  0.6067  0.0094  0.7200  0.0490
150  0.4733  0.0340  0.5267  0.0573  0.6133  0.0189  0.3800  0.0163  0.7800  0.0163  0.4200  0.0163  0.4933  0.0340  0.6200  0.0283  0.5667  0.0094  0.6800  0.0490
160  0.4133  0.0340  0.4600  0.0566  0.5533  0.0094  0.3333  0.0094  0.7600  0.0163  0.3933  0.0340  0.4533  0.0249  0.5600  0.0283  0.4933  0.0094  0.6333  0.0573
170  0.4467  0.0094  0.4333  0.0618  0.5333  0.0094  0.3133  0.0094  0.7800  0.0163  0.3800  0.0163  0.4333  0.0249  0.5533  0.0471  0.4733  0.0094  0.6400  0.0589
180  0.4267  0.0189  0.4333  0.0822  0.5533  0.0094  0.3800  0.0000  0.7867  0.0094  0.4267  0.0189  0.4867  0.0189  0.5800  0.0566  0.5000  0.0000  0.6400  0.0432
190  0.4067  0.0189  0.4133  0.0899  0.5467  0.0249  0.3667  0.0094  0.7867  0.0094  0.4333  0.0377  0.4933  0.0189  0.5733  0.0471  0.5133  0.0094  0.6333  0.0249
200  0.4200  0.0327  0.4333  0.0998  0.5667  0.0249  0.4067  0.0094  0.8400  0.0283  0.4533  0.0189  0.5067  0.0249  0.5933  0.0471  0.5400  0.0000  0.6867  0.0340
210  0.4133  0.0340  0.4533  0.0573  0.5467  0.0249  0.3867  0.0094  0.8533  0.0249  0.4067  0.0411  0.4867  0.0249  0.5800  0.0432  0.5333  0.0094  0.6933  0.0249
220  0.3600  0.0163  0.4333  0.0189  0.4800  0.0163  0.3667  0.0094  0.8133  0.0249  0.3467  0.0249  0.4400  0.0283  0.5133  0.0249  0.4800  0.0000  0.6400  0.0283
230  0.3933  0.0377  0.4533  0.0249  0.5000  0.0163  0.3467  0.0094  0.8267  0.0249  0.3133  0.0249  0.4533  0.0189  0.5267  0.0249  0.4800  0.0283  0.6400  0.0327
240  0.3867  0.0340  0.4467  0.0573  0.4667  0.0094  0.3067  0.0094  0.7933  0.0189  0.2733  0.0249  0.4067  0.0249  0.5000  0.0327  0.4400  0.0283  0.6067  0.0340
250  0.3867  0.0340  0.4400  0.0909  0.4667  0.0094  0.2933  0.0189  0.7933  0.0249  0.2667  0.0094  0.4200  0.0000  0.5000  0.0327  0.4267  0.0249  0.6333  0.0189
260  0.3467  0.0340  0.4200  0.1020  0.4467  0.0249  0.2333  0.0189  0.7733  0.0340  0.2400  0.0283  0.3667  0.0189  0.4667  0.0340  0.3800  0.0327  0.5733  0.0189
270  0.4133  0.0249  0.4533  0.0411  0.5333  0.0340  0.2933  0.0189  0.8000  0.0327  0.3133  0.0471  0.4333  0.0249  0.5400  0.0327  0.4600  0.0327  0.6133  0.0094
280  0.4400  0.0163  0.4733  0.0249  0.5533  0.0340  0.3133  0.0189  0.8200  0.0283  0.3667  0.0525  0.4667  0.0249  0.5733  0.0618  0.4933  0.0189  0.6800  0.0163
290  0.5000  0.0163  0.5400  0.0327  0.6267  0.0249  0.4067  0.0094  0.8667  0.0377  0.4667  0.0411  0.5600  0.0163  0.6600  0.0712  0.5733  0.0189  0.7800  0.0163
300  0.5133  0.0094  0.5533  0.0806  0.6533  0.0340  0.4467  0.0094  0.8667  0.0377  0.4933  0.0680  0.5933  0.0249  0.6800  0.0712  0.6067  0.0189  0.7467  0.0094
310  0.5733  0.0249  0.6000  0.1275  0.7200  0.0432  0.5600  0.0163  0.9067  0.0249  0.5600  0.0566  0.6733  0.0094  0.7533  0.0618  0.6933  0.0094  0.8267  0.0094
320  0.6000  0.0000  0.6200  0.0864  0.7400  0.0432  0.5667  0.0189  0.9267  0.0249  0.5533  0.0525  0.7067  0.0094  0.7800  0.0712  0.7133  0.0094  0.8667  0.0094
330  0.5133  0.0249  0.5667  0.0499  0.6667  0.0525  0.5267  0.0189  0.8733  0.0189  0.5067  0.0471  0.6267  0.0094  0.6933  0.0618  0.6400  0.0000  0.7800  0.0000
340  0.4400  0.0163  0.5133  0.0189  0.6067  0.0680  0.4267  0.0189  0.8400  0.0163  0.4200  0.0490  0.5400  0.0163  0.5867  0.0660  0.5600  0.0000  0.6733  0.0094
