step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.6667  0.4714  1.0000  0.0000  1.0000  0.0000  0.3333  0.4714  0.3333  0.4714  1.0000  0.0000
10  0.0606  0.0857  0.7273  0.0742  1.0000  0.0000  0.8788  0.0429  1.0000  0.0000  0.9091  0.0000  1.0000  0.0000  1.0000  0.0000  0.9091  0.0000  0.9394  0.0429  1.0000  0.0000
20  0.0635  0.0224  0.7143  0.0389  1.0000  0.0000  0.9048  0.0389  1.0000  0.0000  0.8730  0.0594  0.9683  0.0224  1.0000  0.0000  0.9206  0.0224  0.9206  0.0594  1.0000  0.0000
30  0.1075  0.0304  0.7849  0.0152  1.0000  0.0000  0.9247  0.0152  1.0000  0.0000  0.9140  0.0402  0.9785  0.0152  1.0000  0.0000  0.9462  0.0152  0.9462  0.0402  1.0000  0.0000
40  0.1545  0.0115  0.7967  0.0304  1.0000  0.0000  0.9350  0.0115  1.0000  0.0000  0.8943  0.0415  0.9837  0.0115  0.9919  0.0115  0.9512  0.0199  0.9593  0.0304  1.0000  0.0000
50  0.2000  0.0163  0.8200  0.0163  1.0000  0.0000  0.9467  0.0094  0.9800  0.0000  0.9000  0.0432  0.9800  0.0163  0.9800  0.0163  0.9533  0.0249  0.9600  0.0163  1.0000  0.0000
60  0.3333  0.0249  0.8067  0.0249  1.0000  0.0000  0.9333  0.0189  0.9333  0.0094  0.8800  0.0589  0.9800  0.0163  0.9600  0.0163  0.9400  0.0327  0.9333  0.0094  0.9867  0.0094
70  0.4267  0.0340  0.8400  0.0163  1.0000  0.0000  0.9467  0.0189  0.9333  0.0094  0.9067  0.0411  0.9867  0.0094  0.9600  0.0163  0.9533  0.0249  0.9400  0.0163  0.9867  0.0094
80  0.5600  0.0163  0.8533  0.0249  1.0000  0.0000  0.9533  0.0094  0.9333  0.0094  0.9067  0.0411  0.9867  0.0094  0.9600  0.0163  0.9533  0.0249  0.9400  0.0163  0.9867  0.0094
90  0.6800  0.0327  0.8733  0.0340  0.9933  0.0094  0.9533  0.0094  0.9333  0.0094  0.8800  0.0283  0.9867  0.0094  0.9600  0.0000  0.9600  0.0163  0.9400  0.0163  0.9867  0.0094
100  0.8000  0.0283  0.8933  0.0249  0.9933  0.0094  0.9533  0.0094  0.9467  0.0189  0.8733  0.0340  0.9933  0.0094  0.9733  0.0094  0.9733  0.0189  0.9600  0.0163  0.9867  0.0094
