step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
0  0.3333  0.4714  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3333  0.4714  1.0000  0.0000  0.3333  0.4714  0.3333  0.4714
10  0.5455  0.1964  0.3030  0.0429  0.8788  0.0429  0.0303  0.0429  0.5152  0.1134  0.2727  0.1485  0.0909  0.0742  0.7273  0.1485  0.3636  0.0742  0.5758  0.1868
20  0.5714  0.0778  0.3492  0.0224  0.9365  0.0224  0.0952  0.0389  0.7302  0.0809  0.3492  0.0809  0.1746  0.0224  0.8413  0.0978  0.4444  0.0978  0.6349  0.1365
30  0.6129  0.0697  0.3226  0.0263  0.9570  0.0152  0.1183  0.0152  0.7957  0.0663  0.4516  0.0527  0.1720  0.0152  0.8925  0.0663  0.4516  0.1317  0.7312  0.0925
40  0.6260  0.0608  0.3902  0.0345  0.9675  0.0115  0.1057  0.0115  0.8455  0.0501  0.4390  0.0690  0.1707  0.0199  0.9187  0.0501  0.4959  0.1495  0.7886  0.0805
50  0.6867  0.0573  0.4333  0.0806  0.9733  0.0094  0.1133  0.0094  0.8867  0.0411  0.4600  0.0327  0.1533  0.0189  0.9333  0.0411  0.5533  0.1310  0.8200  0.0748
60  0.7333  0.0573  0.4933  0.1427  0.9933  0.0094  0.1333  0.0249  0.9733  0.0189  0.5200  0.0566  0.1800  0.0283  0.9867  0.0094  0.6267  0.0984  0.8800  0.0589
70  0.7800  0.0566  0.5667  0.1731  0.9933  0.0094  0.1133  0.0249  0.9800  0.0163  0.5667  0.0525  0.1533  0.0340  0.9933  0.0094  0.7067  0.0680  0.9333  0.0525
80  0.8067  0.0340  0.6867  0.1731  0.9867  0.0189  0.0800  0.0283  0.9933  0.0094  0.5333  0.0471  0.1733  0.0660  0.9867  0.0094  0.8000  0.0432  0.9333  0.0411
90  0.8467  0.0340  0.7533  0.1552  0.9800  0.0163  0.1067  0.0411  0.9933  0.0094  0.6000  0.0748  0.2267  0.1247  0.9733  0.0094  0.8733  0.0094  0.9333  0.0340
