model,task,seed,total_steps,json_valid_count,json_valid_pct,last_50_valid_pct,last_100_valid_pct,avg_reward,max_reward,min_reward,reward_std,first_10_avg_reward,last_10_avg_reward,reward_improvement,avg_latency_ms,p50_latency_ms,p95_latency_ms,avg_tokens_out,total_tokens_out,learning_detected,run_dir,started_at
gemma-2-9b,Mixed,123,1000,730,73.0,82.0,80.0,1.46,2.0,0.0,0.8883632079218439,1.4,1.8,0.40000000000000013,3272.694989,2577.105,6825.047,61.231,61231,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/Mixed/seed_123,2026-01-30T05:03:34.275648
gemma-2-9b,Mixed,42,1000,711,71.1,82.0,79.0,1.422,2.0,0.0,0.9070494687384689,1.6,2.0,0.3999999999999999,3353.548029,2570.9755,6851.451,62.486,62486,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/Mixed/seed_42,2026-01-30T05:02:40.337978
gemma-2-9b,Mixed,456,1000,733,73.3,82.0,81.0,1.466,2.0,0.0,0.8852274440095199,1.4,1.8,0.40000000000000013,3284.308199,2559.0789999999997,6825.111,61.445,61445,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/Mixed/seed_456,2026-01-30T05:04:29.436234
gemma-2-9b,T1,123,1000,994,99.4,100.0,100.0,1.988,2.0,0.0,0.15453116151728066,1.8,2.0,0.19999999999999996,2619.129763,2616.1665000000003,2807.046,46.851,46851,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T1/seed_123,2026-01-29T18:47:55.173356
gemma-2-9b,T1,42,1000,994,99.4,100.0,100.0,1.988,2.0,0.0,0.15453116151728066,2.0,2.0,0.0,2620.081624,2595.3985000000002,2920.564,46.461,46461,False,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T1/seed_42,2026-01-29T18:00:21.210935
gemma-2-9b,T1,456,1000,995,99.5,100.0,100.0,1.99,2.0,0.0,0.14113794642093924,1.8,2.0,0.19999999999999996,2878.065219,2878.7555,3116.9,53.23,53230,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T1/seed_456,2026-01-29T19:35:20.407784
gemma-2-9b,T2,123,1000,977,97.7,100.0,100.0,1.954,2.0,0.0,0.29995662015360486,0.8,2.0,1.2,4598.361567,4521.7515,6098.258,87.268,87268,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T2/seed_123,2026-01-29T21:46:00.923991
gemma-2-9b,T2,42,1000,984,98.4,100.0,100.0,1.968,2.0,0.0,0.2510757635436743,1.2,2.0,0.8,4520.470492,4426.1825,5789.623,85.432,85432,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T2/seed_42,2026-01-29T20:27:00.501446
gemma-2-9b,T2,456,1000,986,98.6,100.0,100.0,1.972,2.0,0.0,0.23509842890004873,1.6,2.0,0.3999999999999999,4786.304798,4684.290999999999,6054.575,90.167,90167,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T2/seed_456,2026-01-29T23:06:20.630810
gemma-2-9b,T3,123,1000,914,91.4,100.0,100.0,1.828,2.0,0.0,0.5610086725984998,0.0,2.0,2.0,2532.565778,2479.7075,2844.882,48.166,48166,True,/home/maloney/Documents/GitHub/agentops-fw/out/p2_training_20260124/gemma-2-9b/T3/seed_123,2026-01-30T01:17:49.716034
