# step  reward  validity
# model=gemma-2-9b  task=Mixed  seed=seed_42
# classification=sustained  size_group=large
0  0.0000  0.0000
1  1.0000  0.5000
2  1.3333  0.6667
3  1.5000  0.7500
4  1.6000  0.8000
5  1.6667  0.8333
6  1.7143  0.8571
7  1.5000  0.7500
8  1.5556  0.7778
9  1.6000  0.8000
10  1.4545  0.7273
11  1.3333  0.6667
12  1.3846  0.6923
13  1.2857  0.6429
14  1.2000  0.6000
15  1.2500  0.6250
16  1.2941  0.6471
17  1.3333  0.6667
18  1.2632  0.6316
19  1.2000  0.6000
20  1.1429  0.5714
21  1.1818  0.5909
22  1.2174  0.6087
23  1.2500  0.6250
24  1.2800  0.6400
25  1.2308  0.6154
26  1.1852  0.5926
27  1.1429  0.5714
28  1.1034  0.5517
29  1.0667  0.5333
30  1.0968  0.5484
31  1.1250  0.5625
32  1.0909  0.5455
33  1.1176  0.5588
34  1.0857  0.5429
35  1.1111  0.5556
36  1.0811  0.5405
37  1.1053  0.5526
38  1.0769  0.5385
39  1.1000  0.5500
40  1.1220  0.5610
41  1.0952  0.5476
42  1.1163  0.5581
43  1.1364  0.5682
44  1.1556  0.5778
45  1.1739  0.5870
46  1.1915  0.5957
47  1.2083  0.6042
48  1.1837  0.5918
49  1.2000  0.6000
50  1.2400  0.6200
51  1.2400  0.6200
52  1.2000  0.6000
53  1.2000  0.6000
54  1.2000  0.6000
55  1.1600  0.5800
56  1.1200  0.5600
57  1.1200  0.5600
58  1.1200  0.5600
59  1.1200  0.5600
60  1.1600  0.5800
61  1.2000  0.6000
62  1.2000  0.6000
63  1.2000  0.6000
64  1.2400  0.6200
65  1.2400  0.6200
66  1.2400  0.6200
67  1.2400  0.6200
68  1.2800  0.6400
69  1.2800  0.6400
70  1.3200  0.6600
71  1.2800  0.6400
72  1.2800  0.6400
73  1.2800  0.6400
74  1.2400  0.6200
75  1.2400  0.6200
76  1.2800  0.6400
77  1.3200  0.6600
78  1.3600  0.6800
79  1.4000  0.7000
80  1.4000  0.7000
81  1.4000  0.7000
82  1.4000  0.7000
83  1.3600  0.6800
84  1.4000  0.7000
85  1.3600  0.6800
86  1.4000  0.7000
87  1.4000  0.7000
88  1.4000  0.7000
89  1.4000  0.7000
90  1.4000  0.7000
91  1.4400  0.7200
92  1.4000  0.7000
93  1.3600  0.6800
94  1.3600  0.6800
95  1.3600  0.6800
96  1.3600  0.6800
97  1.3200  0.6600
98  1.3600  0.6800
99  1.3600  0.6800
100  1.3200  0.6600
101  1.3200  0.6600
102  1.3200  0.6600
103  1.3200  0.6600
104  1.3200  0.6600
105  1.3600  0.6800
106  1.4000  0.7000
107  1.4400  0.7200
108  1.4400  0.7200
109  1.4400  0.7200
110  1.4400  0.7200
111  1.4400  0.7200
112  1.4400  0.7200
113  1.4800  0.7400
114  1.4800  0.7400
115  1.4400  0.7200
116  1.4000  0.7000
117  1.4000  0.7000
118  1.4000  0.7000
119  1.4000  0.7000
120  1.4000  0.7000
121  1.4000  0.7000
122  1.3600  0.6800
123  1.3200  0.6600
124  1.3200  0.6600
125  1.3200  0.6600
126  1.3200  0.6600
127  1.3200  0.6600
128  1.3200  0.6600
129  1.3200  0.6600
130  1.3200  0.6600
131  1.3200  0.6600
132  1.3600  0.6800
133  1.3600  0.6800
134  1.3200  0.6600
135  1.3600  0.6800
136  1.3200  0.6600
137  1.3200  0.6600
138  1.3600  0.6800
139  1.3200  0.6600
140  1.3200  0.6600
141  1.2800  0.6400
142  1.3200  0.6600
143  1.3600  0.6800
144  1.3600  0.6800
145  1.3600  0.6800
146  1.3200  0.6600
147  1.3200  0.6600
148  1.2800  0.6400
149  1.2400  0.6200
150  1.2400  0.6200
151  1.2400  0.6200
152  1.2400  0.6200
153  1.2000  0.6000
154  1.2000  0.6000
155  1.1600  0.5800
156  1.1600  0.5800
157  1.1600  0.5800
158  1.1200  0.5600
159  1.1200  0.5600
160  1.1200  0.5600
161  1.0800  0.5400
162  1.0800  0.5400
163  1.0400  0.5200
164  1.0400  0.5200
165  1.0800  0.5400
166  1.1200  0.5600
167  1.0800  0.5400
168  1.0800  0.5400
169  1.1200  0.5600
170  1.1200  0.5600
171  1.1200  0.5600
172  1.1200  0.5600
