# step  reward  validity
# model=qwen3-4b  task=Mixed  seed=seed_42
# classification=sustained  size_group=medium
0  2.0000  1.0000
1  2.0000  1.0000
2  2.0000  1.0000
3  1.5000  0.7500
4  1.6000  0.8000
5  1.6667  0.8333
6  1.7143  0.8571
7  1.5000  0.7500
8  1.5556  0.7778
9  1.6000  0.8000
10  1.4545  0.7273
11  1.3333  0.6667
12  1.3846  0.6923
13  1.2857  0.6429
14  1.2000  0.6000
15  1.2500  0.6250
16  1.2941  0.6471
17  1.3333  0.6667
18  1.3684  0.6842
19  1.3000  0.6500
20  1.2381  0.6190
21  1.2727  0.6364
22  1.3043  0.6522
23  1.3333  0.6667
24  1.3600  0.6800
25  1.3077  0.6538
26  1.3333  0.6667
27  1.3571  0.6786
28  1.3793  0.6897
29  1.4000  0.7000
30  1.4194  0.7097
31  1.4375  0.7188
32  1.4545  0.7273
33  1.4706  0.7353
34  1.4857  0.7429
35  1.5000  0.7500
36  1.5135  0.7568
37  1.5263  0.7632
38  1.5385  0.7692
39  1.5500  0.7750
40  1.5610  0.7805
41  1.5714  0.7857
42  1.5814  0.7907
43  1.5909  0.7955
44  1.6000  0.8000
45  1.6087  0.8043
46  1.6170  0.8085
47  1.6250  0.8125
48  1.5918  0.7959
49  1.6000  0.8000
50  1.6000  0.8000
51  1.6000  0.8000
52  1.6000  0.8000
53  1.6400  0.8200
54  1.6400  0.8200
55  1.6400  0.8200
56  1.6000  0.8000
57  1.6400  0.8200
58  1.6400  0.8200
59  1.6400  0.8200
60  1.6800  0.8400
61  1.7200  0.8600
62  1.7200  0.8600
63  1.7200  0.8600
64  1.7600  0.8800
65  1.7600  0.8800
66  1.7600  0.8800
67  1.7600  0.8800
68  1.7600  0.8800
69  1.7600  0.8800
70  1.8000  0.9000
71  1.7600  0.8800
72  1.7600  0.8800
73  1.7600  0.8800
74  1.7200  0.8600
75  1.7600  0.8800
76  1.7200  0.8600
77  1.7200  0.8600
78  1.7200  0.8600
79  1.7200  0.8600
80  1.7200  0.8600
81  1.7200  0.8600
82  1.7200  0.8600
83  1.6800  0.8400
84  1.6800  0.8400
85  1.6400  0.8200
86  1.6400  0.8200
87  1.6400  0.8200
88  1.6000  0.8000
89  1.6000  0.8000
90  1.6000  0.8000
91  1.6000  0.8000
92  1.6000  0.8000
93  1.5600  0.7800
94  1.5600  0.7800
95  1.5600  0.7800
96  1.5600  0.7800
97  1.5600  0.7800
98  1.6000  0.8000
99  1.6000  0.8000
100  1.6000  0.8000
101  1.6000  0.8000
102  1.5600  0.7800
103  1.5600  0.7800
104  1.5600  0.7800
105  1.5600  0.7800
106  1.6000  0.8000
107  1.6000  0.8000
108  1.6000  0.8000
109  1.6000  0.8000
110  1.6000  0.8000
111  1.6000  0.8000
112  1.6000  0.8000
113  1.6000  0.8000
114  1.6000  0.8000
115  1.5600  0.7800
116  1.5200  0.7600
117  1.5200  0.7600
118  1.5200  0.7600
119  1.5600  0.7800
120  1.5600  0.7800
121  1.6000  0.8000
122  1.5600  0.7800
123  1.5600  0.7800
124  1.6000  0.8000
125  1.5600  0.7800
126  1.6000  0.8000
127  1.6000  0.8000
128  1.5600  0.7800
129  1.5600  0.7800
130  1.5600  0.7800
131  1.5600  0.7800
132  1.5600  0.7800
133  1.5600  0.7800
134  1.5600  0.7800
135  1.6000  0.8000
136  1.6000  0.8000
137  1.6000  0.8000
138  1.6400  0.8200
139  1.6400  0.8200
140  1.6400  0.8200
141  1.6400  0.8200
142  1.6400  0.8200
143  1.6800  0.8400
144  1.6400  0.8200
145  1.6400  0.8200
146  1.6000  0.8000
147  1.6000  0.8000
148  1.6000  0.8000
149  1.5600  0.7800
150  1.5600  0.7800
151  1.5600  0.7800
152  1.5600  0.7800
153  1.5600  0.7800
154  1.5600  0.7800
155  1.5600  0.7800
156  1.5600  0.7800
157  1.5600  0.7800
158  1.5200  0.7600
