# step  reward  validity
# model=qwen3-4b  task=T5  seed=seed_42
# classification=transient  size_group=medium
0  2.0000  1.0000
1  1.0000  0.5000
2  0.6667  0.3333
3  0.5000  0.2500
4  0.8000  0.4000
5  0.6667  0.3333
6  0.5714  0.2857
7  0.5000  0.2500
8  0.4444  0.2222
9  0.4000  0.2000
10  0.5455  0.2727
11  0.6667  0.3333
12  0.7692  0.3846
13  0.7143  0.3571
14  0.8000  0.4000
15  0.7500  0.3750
16  0.7059  0.3529
17  0.6667  0.3333
18  0.6316  0.3158
19  0.6000  0.3000
20  0.5714  0.2857
21  0.6364  0.3182
22  0.6087  0.3043
23  0.5833  0.2917
24  0.6400  0.3200
25  0.6154  0.3077
26  0.6667  0.3333
27  0.6429  0.3214
28  0.6207  0.3103
29  0.6000  0.3000
30  0.5806  0.2903
31  0.6250  0.3125
32  0.6061  0.3030
33  0.6471  0.3235
34  0.6857  0.3429
35  0.6667  0.3333
36  0.7027  0.3514
37  0.6842  0.3421
38  0.6667  0.3333
39  0.6500  0.3250
40  0.6829  0.3415
41  0.7143  0.3571
42  0.6977  0.3488
43  0.6818  0.3409
44  0.7111  0.3556
45  0.7391  0.3696
46  0.7234  0.3617
47  0.7083  0.3542
48  0.7347  0.3673
49  0.7200  0.3600
50  0.7200  0.3600
51  0.7200  0.3600
52  0.7200  0.3600
53  0.7200  0.3600
54  0.7200  0.3600
55  0.7600  0.3800
56  0.7600  0.3800
57  0.8000  0.4000
58  0.8400  0.4200
59  0.8800  0.4400
60  0.8400  0.4200
61  0.8400  0.4200
62  0.8400  0.4200
63  0.8800  0.4400
64  0.8400  0.4200
65  0.8400  0.4200
66  0.8400  0.4200
67  0.8800  0.4400
68  0.8800  0.4400
69  0.9200  0.4600
70  0.9200  0.4600
71  0.9200  0.4600
72  0.9600  0.4800
73  0.9600  0.4800
74  0.9200  0.4600
75  0.9600  0.4800
76  0.9200  0.4600
77  0.9200  0.4600
78  0.9200  0.4600
79  0.9200  0.4600
80  0.9600  0.4800
81  0.9200  0.4600
82  0.9200  0.4600
83  0.8800  0.4400
84  0.8800  0.4400
85  0.9200  0.4600
86  0.9200  0.4600
87  0.9600  0.4800
88  0.9600  0.4800
89  1.0000  0.5000
90  1.0000  0.5000
91  0.9600  0.4800
92  0.9600  0.4800
93  1.0000  0.5000
94  0.9600  0.4800
95  0.9200  0.4600
96  0.9200  0.4600
97  0.9600  0.4800
98  0.9600  0.4800
99  0.9600  0.4800
100  0.9600  0.4800
101  1.0000  0.5000
102  1.0400  0.5200
103  1.0800  0.5400
104  1.0400  0.5200
105  1.0400  0.5200
106  1.0800  0.5400
107  1.0400  0.5200
108  1.0000  0.5000
109  1.0000  0.5000
110  1.0000  0.5000
111  0.9600  0.4800
112  0.9200  0.4600
113  0.8800  0.4400
114  0.8800  0.4400
115  0.9200  0.4600
116  0.9200  0.4600
117  0.8800  0.4400
118  0.8800  0.4400
119  0.8400  0.4200
120  0.8400  0.4200
121  0.8000  0.4000
122  0.7600  0.3800
123  0.7600  0.3800
124  0.7600  0.3800
125  0.7200  0.3600
126  0.7200  0.3600
127  0.7200  0.3600
128  0.7600  0.3800
129  0.7600  0.3800
130  0.7200  0.3600
131  0.7200  0.3600
132  0.7600  0.3800
133  0.8000  0.4000
134  0.7600  0.3800
135  0.7200  0.3600
136  0.7200  0.3600
137  0.7200  0.3600
138  0.7200  0.3600
139  0.6800  0.3400
140  0.6400  0.3200
141  0.6400  0.3200
142  0.6400  0.3200
143  0.6000  0.3000
144  0.6000  0.3000
145  0.6000  0.3000
146  0.6000  0.3000
147  0.6000  0.3000
148  0.5600  0.2800
149  0.5600  0.2800
150  0.5600  0.2800
151  0.5200  0.2600
152  0.5200  0.2600
153  0.4800  0.2400
154  0.5200  0.2600
155  0.4800  0.2400
156  0.4800  0.2400
157  0.4800  0.2400
158  0.4800  0.2400
159  0.4400  0.2200
160  0.4400  0.2200
161  0.4400  0.2200
162  0.4400  0.2200
163  0.4400  0.2200
164  0.4400  0.2200
165  0.4000  0.2000
166  0.4000  0.2000
167  0.4000  0.2000
168  0.4000  0.2000
169  0.4000  0.2000
170  0.4400  0.2200
171  0.4800  0.2400
172  0.4800  0.2400
173  0.5200  0.2600
174  0.5200  0.2600
175  0.5200  0.2600
176  0.5200  0.2600
177  0.5200  0.2600
178  0.4800  0.2400
179  0.5200  0.2600
180  0.5200  0.2600
181  0.5200  0.2600
182  0.4800  0.2400
183  0.4400  0.2200
184  0.4400  0.2200
185  0.4400  0.2200
186  0.4000  0.2000
187  0.3600  0.1800
188  0.4000  0.2000
189  0.4000  0.2000
190  0.4000  0.2000
191  0.4000  0.2000
192  0.4000  0.2000
193  0.4000  0.2000
194  0.4400  0.2200
195  0.4800  0.2400
196  0.5200  0.2600
197  0.4800  0.2400
198  0.4800  0.2400
199  0.4800  0.2400
200  0.4400  0.2200
201  0.4400  0.2200
202  0.4400  0.2200
203  0.4400  0.2200
204  0.4000  0.2000
205  0.4000  0.2000
206  0.3600  0.1800
207  0.3600  0.1800
208  0.3600  0.1800
209  0.3600  0.1800
210  0.4000  0.2000
211  0.4400  0.2200
212  0.4800  0.2400
213  0.4800  0.2400
214  0.5200  0.2600
215  0.5600  0.2800
216  0.5600  0.2800
217  0.5600  0.2800
218  0.6000  0.3000
219  0.6000  0.3000
220  0.5600  0.2800
221  0.5600  0.2800
222  0.6000  0.3000
223  0.6000  0.3000
224  0.6000  0.3000
225  0.6000  0.3000
226  0.6400  0.3200
227  0.6400  0.3200
228  0.6400  0.3200
229  0.6000  0.3000
230  0.6400  0.3200
231  0.6400  0.3200
232  0.6800  0.3400
233  0.7200  0.3600
234  0.7600  0.3800
235  0.8000  0.4000
236  0.8400  0.4200
237  0.8800  0.4400
238  0.8400  0.4200
239  0.8800  0.4400
240  0.8800  0.4400
241  0.8800  0.4400
242  0.9200  0.4600
243  0.9200  0.4600
244  0.9200  0.4600
245  0.9200  0.4600
246  0.8800  0.4400
247  0.9200  0.4600
248  0.9200  0.4600
249  0.9600  0.4800
250  1.0000  0.5000
251  1.0400  0.5200
252  1.0000  0.5000
253  1.0400  0.5200
254  1.0800  0.5400
255  1.0800  0.5400
256  1.0800  0.5400
257  1.0800  0.5400
258  1.0800  0.5400
259  1.1200  0.5600
260  1.1200  0.5600
261  1.0800  0.5400
262  1.0400  0.5200
263  1.0400  0.5200
264  1.0000  0.5000
265  0.9600  0.4800
266  0.9600  0.4800
267  1.0000  0.5000
268  0.9600  0.4800
269  0.9600  0.4800
270  0.9600  0.4800
271  0.9200  0.4600
272  0.9200  0.4600
273  0.9200  0.4600
274  0.9200  0.4600
275  0.9200  0.4600
276  0.9200  0.4600
277  0.9600  0.4800
278  0.9600  0.4800
279  0.9600  0.4800
280  0.9200  0.4600
281  0.9200  0.4600
282  0.9200  0.4600
283  0.8800  0.4400
284  0.8400  0.4200
285  0.8000  0.4000
286  0.8000  0.4000
287  0.7600  0.3800
288  0.7600  0.3800
289  0.7200  0.3600
290  0.7200  0.3600
291  0.7200  0.3600
292  0.6800  0.3400
293  0.6800  0.3400
294  0.6400  0.3200
295  0.6400  0.3200
296  0.6400  0.3200
297  0.6000  0.3000
298  0.6400  0.3200
299  0.6000  0.3000
300  0.6000  0.3000
301  0.5600  0.2800
302  0.5600  0.2800
303  0.5200  0.2600
304  0.5200  0.2600
305  0.5200  0.2600
306  0.5200  0.2600
307  0.5200  0.2600
308  0.5200  0.2600
309  0.4800  0.2400
310  0.4800  0.2400
311  0.5200  0.2600
312  0.5600  0.2800
313  0.6000  0.3000
314  0.6000  0.3000
315  0.6000  0.3000
316  0.6000  0.3000
317  0.5600  0.2800
318  0.5600  0.2800
319  0.5600  0.2800
320  0.5600  0.2800
321  0.6000  0.3000
322  0.5600  0.2800
323  0.5200  0.2600
324  0.5200  0.2600
325  0.5200  0.2600
326  0.5200  0.2600
327  0.4800  0.2400
328  0.4800  0.2400
329  0.4800  0.2400
330  0.4800  0.2400
331  0.5200  0.2600
332  0.4800  0.2400
333  0.5200  0.2600
334  0.5600  0.2800
335  0.5600  0.2800
336  0.5600  0.2800
337  0.6000  0.3000
338  0.6000  0.3000
339  0.6000  0.3000
340  0.6400  0.3200
341  0.6800  0.3400
342  0.6800  0.3400
343  0.6800  0.3400
344  0.7200  0.3600
345  0.7200  0.3600
346  0.7200  0.3600
347  0.7200  0.3600
348  0.7200  0.3600
349  0.7600  0.3800
350  0.7600  0.3800
351  0.7600  0.3800
352  0.7600  0.3800
353  0.7600  0.3800
354  0.7600  0.3800
355  0.8000  0.4000
356  0.8000  0.4000
357  0.8400  0.4200
358  0.8800  0.4400
359  0.9200  0.4600
360  0.8800  0.4400
361  0.8800  0.4400
362  0.8800  0.4400
363  0.8800  0.4400
364  0.8800  0.4400
365  0.8800  0.4400
366  0.8800  0.4400
367  0.9200  0.4600
368  0.9200  0.4600
369  0.9600  0.4800
370  0.9600  0.4800
371  0.9600  0.4800
372  1.0000  0.5000
373  1.0000  0.5000
374  1.0000  0.5000
375  1.0400  0.5200
376  1.0000  0.5000
377  1.0000  0.5000
378  1.0400  0.5200
379  1.0400  0.5200
380  1.0800  0.5400
381  1.0400  0.5200
382  1.0400  0.5200
383  1.0000  0.5000
384  1.0000  0.5000
385  1.0400  0.5200
386  1.0400  0.5200
387  1.0400  0.5200
388  1.0400  0.5200
389  1.0800  0.5400
390  1.0800  0.5400
391  1.0400  0.5200
392  1.0400  0.5200
393  1.0800  0.5400
394  1.0400  0.5200
395  1.0000  0.5000
396  1.0000  0.5000
397  1.0400  0.5200
398  1.0400  0.5200
399  1.0000  0.5000
400  1.0000  0.5000
401  1.0400  0.5200
402  1.0800  0.5400
403  1.1200  0.5600
404  1.0800  0.5400
405  1.0800  0.5400
406  1.1200  0.5600
407  1.0800  0.5400
408  1.0400  0.5200
409  1.0400  0.5200
410  1.0400  0.5200
411  1.0000  0.5000
412  1.0000  0.5000
413  0.9600  0.4800
414  0.9600  0.4800
415  1.0000  0.5000
416  1.0000  0.5000
417  0.9600  0.4800
418  0.9600  0.4800
419  0.9200  0.4600
420  0.9200  0.4600
421  0.8800  0.4400
422  0.8400  0.4200
423  0.8400  0.4200
424  0.8400  0.4200
425  0.8000  0.4000
426  0.8000  0.4000
427  0.8000  0.4000
428  0.8000  0.4000
429  0.8000  0.4000
430  0.7600  0.3800
431  0.7600  0.3800
432  0.8000  0.4000
433  0.8400  0.4200
434  0.8000  0.4000
435  0.7600  0.3800
436  0.7600  0.3800
437  0.7600  0.3800
438  0.7600  0.3800
439  0.7200  0.3600
440  0.6800  0.3400
441  0.6800  0.3400
442  0.6800  0.3400
443  0.6400  0.3200
444  0.6400  0.3200
445  0.6400  0.3200
446  0.6400  0.3200
447  0.6400  0.3200
448  0.6000  0.3000
449  0.6400  0.3200
450  0.6400  0.3200
451  0.6000  0.3000
452  0.6000  0.3000
453  0.5600  0.2800
454  0.6000  0.3000
455  0.5600  0.2800
456  0.5600  0.2800
457  0.5600  0.2800
458  0.5600  0.2800
459  0.5200  0.2600
460  0.5200  0.2600
461  0.5200  0.2600
462  0.4800  0.2400
463  0.4800  0.2400
464  0.4800  0.2400
465  0.4400  0.2200
466  0.4400  0.2200
467  0.4400  0.2200
468  0.4400  0.2200
469  0.4400  0.2200
470  0.4800  0.2400
471  0.5200  0.2600
472  0.5200  0.2600
473  0.5600  0.2800
474  0.5600  0.2800
475  0.5600  0.2800
476  0.5600  0.2800
477  0.5600  0.2800
478  0.5200  0.2600
479  0.5600  0.2800
480  0.5600  0.2800
481  0.5600  0.2800
482  0.5200  0.2600
483  0.4800  0.2400
484  0.4800  0.2400
485  0.4800  0.2400
486  0.4400  0.2200
487  0.4000  0.2000
488  0.4400  0.2200
489  0.4400  0.2200
490  0.4400  0.2200
491  0.4400  0.2200
492  0.4400  0.2200
493  0.4400  0.2200
494  0.4800  0.2400
495  0.5200  0.2600
496  0.5600  0.2800
497  0.5200  0.2600
498  0.5200  0.2600
499  0.4800  0.2400
500  0.4400  0.2200
501  0.4400  0.2200
502  0.4400  0.2200
503  0.4400  0.2200
504  0.4000  0.2000
505  0.4000  0.2000
506  0.3600  0.1800
507  0.3600  0.1800
508  0.3600  0.1800
509  0.3600  0.1800
510  0.4000  0.2000
511  0.4400  0.2200
512  0.4800  0.2400
513  0.4800  0.2400
514  0.5200  0.2600
515  0.5600  0.2800
516  0.5600  0.2800
517  0.5600  0.2800
518  0.6000  0.3000
519  0.6000  0.3000
520  0.5600  0.2800
521  0.5600  0.2800
522  0.6000  0.3000
523  0.6000  0.3000
524  0.6000  0.3000
525  0.6000  0.3000
526  0.6400  0.3200
527  0.6400  0.3200
528  0.6400  0.3200
529  0.6000  0.3000
530  0.6400  0.3200
531  0.6400  0.3200
532  0.6800  0.3400
533  0.7200  0.3600
534  0.7600  0.3800
535  0.8000  0.4000
536  0.8400  0.4200
