# step  reward  validity
# model=llama-3.2-1b  task=T2  seed=seed_42
# classification=sustained  size_group=small
0  2.0000  1.0000
1  2.0000  1.0000
2  1.3333  0.6667
3  1.0000  0.5000
4  0.8000  0.4000
5  1.0000  0.5000
6  0.8571  0.4286
7  0.7500  0.3750
8  0.6667  0.3333
9  0.6000  0.3000
10  0.7273  0.3636
11  0.6667  0.3333
12  0.7692  0.3846
13  0.8571  0.4286
14  0.9333  0.4667
15  0.8750  0.4375
16  0.9412  0.4706
17  1.0000  0.5000
18  0.9474  0.4737
19  1.0000  0.5000
20  0.9524  0.4762
21  0.9091  0.4545
22  0.9565  0.4783
23  0.9167  0.4583
24  0.9600  0.4800
25  1.0000  0.5000
26  1.0370  0.5185
27  1.0714  0.5357
28  1.1034  0.5517
29  1.1333  0.5667
30  1.1613  0.5806
31  1.1875  0.5938
32  1.1515  0.5758
33  1.1765  0.5882
34  1.1429  0.5714
35  1.1667  0.5833
36  1.1892  0.5946
37  1.2105  0.6053
38  1.1795  0.5897
39  1.2000  0.6000
40  1.2195  0.6098
41  1.2381  0.6190
42  1.2558  0.6279
43  1.2727  0.6364
44  1.2889  0.6444
45  1.3043  0.6522
46  1.3191  0.6596
47  1.3333  0.6667
48  1.3469  0.6735
49  1.3600  0.6800
50  1.3600  0.6800
51  1.3600  0.6800
52  1.4000  0.7000
53  1.4400  0.7200
54  1.4800  0.7400
55  1.4400  0.7200
56  1.4800  0.7400
57  1.5200  0.7600
58  1.5600  0.7800
59  1.6000  0.8000
60  1.6000  0.8000
61  1.6000  0.8000
62  1.6000  0.8000
63  1.5600  0.7800
64  1.5600  0.7800
65  1.6000  0.8000
66  1.6000  0.8000
67  1.6000  0.8000
68  1.6000  0.8000
69  1.6000  0.8000
70  1.6400  0.8200
71  1.6800  0.8400
72  1.6800  0.8400
73  1.6800  0.8400
74  1.6800  0.8400
75  1.6800  0.8400
76  1.6800  0.8400
77  1.6800  0.8400
78  1.6400  0.8200
79  1.6400  0.8200
80  1.6400  0.8200
81  1.6400  0.8200
82  1.6800  0.8400
83  1.6800  0.8400
84  1.7200  0.8600
85  1.7200  0.8600
86  1.6800  0.8400
87  1.6800  0.8400
88  1.7200  0.8600
89  1.7200  0.8600
90  1.7200  0.8600
91  1.7200  0.8600
92  1.7200  0.8600
93  1.6800  0.8400
94  1.6800  0.8400
95  1.6800  0.8400
96  1.6800  0.8400
97  1.6400  0.8200
98  1.6000  0.8000
99  1.5600  0.7800
100  1.5600  0.7800
101  1.5600  0.7800
102  1.5600  0.7800
103  1.5600  0.7800
104  1.5600  0.7800
105  1.6000  0.8000
106  1.6000  0.8000
107  1.6000  0.8000
108  1.6000  0.8000
109  1.6000  0.8000
110  1.6000  0.8000
111  1.6400  0.8200
112  1.6400  0.8200
113  1.6800  0.8400
114  1.6800  0.8400
115  1.6800  0.8400
116  1.6800  0.8400
117  1.6800  0.8400
118  1.7200  0.8600
119  1.7200  0.8600
120  1.6800  0.8400
121  1.6400  0.8200
122  1.6400  0.8200
123  1.6800  0.8400
124  1.6400  0.8200
125  1.6400  0.8200
126  1.6400  0.8200
127  1.6400  0.8200
128  1.6400  0.8200
129  1.6400  0.8200
130  1.6400  0.8200
131  1.6400  0.8200
132  1.6400  0.8200
133  1.6400  0.8200
134  1.6400  0.8200
135  1.6400  0.8200
136  1.6800  0.8400
137  1.6400  0.8200
138  1.6400  0.8200
139  1.6000  0.8000
140  1.6000  0.8000
141  1.6000  0.8000
142  1.6000  0.8000
143  1.6400  0.8200
144  1.6400  0.8200
145  1.6400  0.8200
146  1.6400  0.8200
147  1.6800  0.8400
148  1.7200  0.8600
149  1.7600  0.8800
150  1.7600  0.8800
151  1.7600  0.8800
152  1.7600  0.8800
153  1.7600  0.8800
154  1.7600  0.8800
155  1.7600  0.8800
156  1.7600  0.8800
157  1.7200  0.8600
158  1.7200  0.8600
