# step  reward  validity
# model=llama-3.2-1b  task=Mixed  seed=seed_42
# classification=transient  size_group=small
0  0.0000  0.0000
1  1.0000  0.5000
2  0.6667  0.3333
3  1.0000  0.5000
4  0.8000  0.4000
5  0.6667  0.3333
6  0.8571  0.4286
7  0.7500  0.3750
8  0.6667  0.3333
9  0.8000  0.4000
10  0.7273  0.3636
11  0.6667  0.3333
12  0.6154  0.3077
13  0.5714  0.2857
14  0.5333  0.2667
15  0.5000  0.2500
16  0.5882  0.2941
17  0.5556  0.2778
18  0.5263  0.2632
19  0.5000  0.2500
20  0.4762  0.2381
21  0.5455  0.2727
22  0.5217  0.2609
23  0.5833  0.2917
24  0.5600  0.2800
25  0.5385  0.2692
26  0.5185  0.2593
27  0.5000  0.2500
28  0.4828  0.2414
29  0.4667  0.2333
30  0.4516  0.2258
31  0.5000  0.2500
32  0.4848  0.2424
33  0.4706  0.2353
34  0.4571  0.2286
35  0.4444  0.2222
36  0.4324  0.2162
37  0.4737  0.2368
38  0.4615  0.2308
39  0.5000  0.2500
40  0.4878  0.2439
41  0.4762  0.2381
42  0.5116  0.2558
43  0.5000  0.2500
44  0.5333  0.2667
45  0.5652  0.2826
46  0.5957  0.2979
47  0.6250  0.3125
48  0.6122  0.3061
49  0.6400  0.3200
50  0.6400  0.3200
51  0.6000  0.3000
52  0.6000  0.3000
53  0.6000  0.3000
54  0.6000  0.3000
55  0.6400  0.3200
56  0.6000  0.3000
57  0.6400  0.3200
58  0.6800  0.3400
59  0.6800  0.3400
60  0.6800  0.3400
61  0.7200  0.3600
62  0.7200  0.3600
63  0.7600  0.3800
64  0.7600  0.3800
65  0.7600  0.3800
66  0.7600  0.3800
67  0.8000  0.4000
68  0.8400  0.4200
69  0.8400  0.4200
70  0.8800  0.4400
71  0.8400  0.4200
72  0.8400  0.4200
73  0.8400  0.4200
74  0.8400  0.4200
75  0.8400  0.4200
76  0.8800  0.4400
77  0.9200  0.4600
78  0.9200  0.4600
79  0.9600  0.4800
80  1.0000  0.5000
81  0.9600  0.4800
82  0.9600  0.4800
83  0.9600  0.4800
84  1.0000  0.5000
85  1.0000  0.5000
86  1.0400  0.5200
87  1.0400  0.5200
88  1.0400  0.5200
89  1.0000  0.5000
90  1.0000  0.5000
91  1.0000  0.5000
92  0.9600  0.4800
93  0.9600  0.4800
94  0.9600  0.4800
95  0.9200  0.4600
96  0.9200  0.4600
97  0.8800  0.4400
98  0.9200  0.4600
99  0.8800  0.4400
100  0.8800  0.4400
101  0.9200  0.4600
102  0.9200  0.4600
103  0.9200  0.4600
104  0.9600  0.4800
105  0.9600  0.4800
106  1.0000  0.5000
107  1.0000  0.5000
108  1.0000  0.5000
109  1.0000  0.5000
110  1.0000  0.5000
111  1.0000  0.5000
112  1.0000  0.5000
113  1.0000  0.5000
114  1.0400  0.5200
115  1.0400  0.5200
116  1.0000  0.5000
117  0.9600  0.4800
118  0.9600  0.4800
119  0.9600  0.4800
120  0.9600  0.4800
121  0.9600  0.4800
122  0.9600  0.4800
123  0.9200  0.4600
124  0.9200  0.4600
125  0.9200  0.4600
126  0.8800  0.4400
127  0.8800  0.4400
128  0.9200  0.4600
129  0.9200  0.4600
130  0.9200  0.4600
131  0.9200  0.4600
132  0.9600  0.4800
133  0.9600  0.4800
134  0.9200  0.4600
135  0.9600  0.4800
136  0.9200  0.4600
137  0.9200  0.4600
138  0.9600  0.4800
139  0.9600  0.4800
140  1.0000  0.5000
141  1.0000  0.5000
142  1.0400  0.5200
143  1.0800  0.5400
144  1.0800  0.5400
145  1.1200  0.5600
146  1.0800  0.5400
147  1.0800  0.5400
148  1.0400  0.5200
149  1.0400  0.5200
150  1.0400  0.5200
151  1.0400  0.5200
152  1.0400  0.5200
153  1.0000  0.5000
154  1.0000  0.5000
155  0.9600  0.4800
156  0.9600  0.4800
157  0.9600  0.4800
158  0.9200  0.4600
159  0.9200  0.4600
160  0.9200  0.4600
161  0.8800  0.4400
162  0.8800  0.4400
163  0.8400  0.4200
164  0.8400  0.4200
165  0.8800  0.4400
166  0.8800  0.4400
167  0.8800  0.4400
168  0.8800  0.4400
169  0.9200  0.4600
170  0.8800  0.4400
171  0.8800  0.4400
172  0.8800  0.4400
