model,num_runs,num_tasks,num_seeds,mean_last_50_valid_pct,std_last_50_valid_pct,min_last_50_valid_pct,max_last_50_valid_pct,mean_avg_reward,std_avg_reward,learning_rate
gemma-2-9b,18,6,3,87.66666666666667,27.218073580100498,0.0,100.0,1.5715555555555556,0.6538733662453055,0.7222222222222222
gemma-3-12b,11,4,3,92.72727272727273,12.720777563426767,70.0,100.0,1.8005454545454544,0.2349197154929163,0.2727272727272727
llama-3.1-8b,18,6,3,57.55555555555556,47.11215931747934,0.0,100.0,1.1524444444444444,0.9055061777307192,0.3888888888888889
llama-3.2-1b,18,6,3,52.666666666666664,49.06658141510071,0.0,100.0,1.090992770548326,0.8906930306772803,0.3888888888888889
llama-3.2-3b,18,6,3,53.666666666666664,49.93289614719998,0.0,100.0,1.113002132196162,0.9030260438951345,0.3888888888888889
ministral-8b,18,6,3,73.0,41.383429477196756,0.0,100.0,1.41,0.8179388730216947,0.4444444444444444
mistral-7b-v0.3,18,6,3,46.666666666666664,49.671864447059555,0.0,100.0,1.0052092772384034,0.9150234971188983,0.1111111111111111
phi-3-mini,18,6,3,45.666666666666664,47.922731926447156,0.0,100.0,0.8264420480012953,0.8962111368117017,0.5
qwen2.5-3b,18,6,3,73.77777777777777,41.65905812885124,0.0,100.0,1.3987777777777777,0.8037813981100287,0.4444444444444444
qwen3-4b,18,6,3,89.66666666666667,18.951951630062677,48.0,100.0,1.7290596606458675,0.4653128139305689,0.6666666666666666
yi-1.5-6b,18,6,3,49.333333333333336,50.77748458890486,0.0,100.0,1.0323333333333333,0.878391645197597,0.4444444444444444
