model,seed,steps,valid_pct,last50_pct,avg_reward,path
gemma-2-9b,123,250,48.4,0.0,0.7101,out/p2_training/gemma-2-9b_seed123_250steps
gemma-2-9b,123,500,35.0,70.0,0.4248,out/p2_training/gemma-2-9b_seed123_500steps
gemma-2-9b,42,250,47.6,0.0,0.6741,out/p2_training/gemma-2-9b_seed42_250steps
gemma-2-9b,42,500,30.4,34.0,0.3411,out/p2_training/gemma-2-9b_seed42_500steps
gemma-2-9b,456,250,49.6,0.0,0.7492,out/p2_training/gemma-2-9b_seed456_250steps
gemma-2-9b,456,500,33.4,56.0,0.4061,out/p2_training/gemma-2-9b_seed456_500steps
gemma-3-12b,123,250,47.2,0.0,0.3284,out/p2_training/gemma-3-12b_seed123_250steps
gemma-3-12b,123,500,40.8,80.0,0.2216,out/p2_training/gemma-3-12b_seed123_500steps
gemma-3-12b,42,250,47.2,0.0,0.267,out/p2_training/gemma-3-12b_seed42_250steps
gemma-3-12b,42,500,40.8,78.0,0.2282,out/p2_training/gemma-3-12b_seed42_500steps
gemma-3-12b,456,250,45.6,0.0,0.2507,out/p2_training/gemma-3-12b_seed456_250steps
gemma-3-12b,456,500,40.8,78.0,0.2649,out/p2_training/gemma-3-12b_seed456_500steps
gemma_12b_500,?,500,41.4,78.0,0.2633,out/p2_training_20260114/gemma_12b_500
llama-3.1-8b,123,250,33.2,0.0,-0.0912,out/p2_training/llama-3.1-8b_seed123_250steps
llama-3.1-8b,123,500,17.0,0.0,-0.4012,out/p2_training/llama-3.1-8b_seed123_500steps
llama-3.1-8b,42,250,31.2,0.0,-0.1286,out/p2_training/llama-3.1-8b_seed42_250steps
llama-3.1-8b,42,500,16.2,0.0,-0.4405,out/p2_training/llama-3.1-8b_seed42_500steps
llama-3.1-8b,456,250,30.8,0.0,-0.1477,out/p2_training/llama-3.1-8b_seed456_250steps
llama-3.1-8b,456,500,18.2,0.0,-0.379,out/p2_training/llama-3.1-8b_seed456_500steps
llama-3.2-1b,123,250,30.8,0.0,0.4819,out/p2_training/llama-3.2-1b_seed123_250steps
llama-3.2-1b,123,500,21.0,0.0,0.318,out/p2_training/llama-3.2-1b_seed123_500steps
llama-3.2-1b,42,250,30.0,0.0,0.4398,out/p2_training/llama-3.2-1b_seed42_250steps
llama-3.2-1b,42,500,19.6,0.0,0.3011,out/p2_training/llama-3.2-1b_seed42_500steps
llama-3.2-1b,456,250,31.6,0.0,0.487,out/p2_training/llama-3.2-1b_seed456_250steps
llama-3.2-1b,456,500,17.6,0.0,0.2568,out/p2_training/llama-3.2-1b_seed456_500steps
llama-3.2-3b,123,250,25.6,0.0,0.1063,out/p2_training/llama-3.2-3b_seed123_250steps
llama-3.2-3b,123,500,12.8,0.0,-0.1769,out/p2_training/llama-3.2-3b_seed123_500steps
llama-3.2-3b,42,250,26.0,0.0,0.1115,out/p2_training/llama-3.2-3b_seed42_250steps
llama-3.2-3b,42,500,13.4,0.0,-0.1686,out/p2_training/llama-3.2-3b_seed42_500steps
llama-3.2-3b,456,250,25.6,0.0,0.0921,out/p2_training/llama-3.2-3b_seed456_250steps
llama-3.2-3b,456,500,15.4,0.0,-0.1182,out/p2_training/llama-3.2-3b_seed456_500steps
llama_3.2_3b_250,?,250,96.0,98.0,1.92,out/p2_full_20260114_161728/llama_3.2_3b_250
llama_3b_500,?,500,14.2,0.0,-0.1278,out/p2_training_20260114/llama_3b_500
ministral-8b,123,250,31.2,8.0,0.3609,out/p2_training/ministral-8b_seed123_250steps
ministral-8b,123,500,18.8,0.0,0.2329,out/p2_training/ministral-8b_seed123_500steps
ministral-8b,42,250,34.0,0.0,0.3954,out/p2_training/ministral-8b_seed42_250steps
ministral-8b,42,500,22.6,0.0,0.3152,out/p2_training/ministral-8b_seed42_500steps
ministral-8b,456,250,42.8,18.0,0.5819,out/p2_training/ministral-8b_seed456_250steps
ministral-8b,456,500,19.6,0.0,0.2827,out/p2_training/ministral-8b_seed456_500steps
mistral-7b,123,250,33.6,0.0,0.2072,out/p2_training/mistral-7b_seed123_250steps
mistral-7b,123,500,19.6,0.0,0.0746,out/p2_training/mistral-7b_seed123_500steps
