# Model Task Tier S_at_SLO
llama-3.2-1b T1:Intent interactive 27.2
llama-3.2-1b T1:Intent standard 62.2
llama-3.2-1b T1:Intent batch 62.2
llama-3.2-1b T2:QA interactive 0.0
llama-3.2-1b T2:QA standard 0.6
llama-3.2-1b T2:QA batch 27.4
llama-3.2-1b T3:Tools interactive 0.2
llama-3.2-1b T3:Tools standard 72.7
llama-3.2-1b T3:Tools batch 74.8
llama-3.2-1b T4:FuncRoute interactive 12.0
llama-3.2-1b T4:FuncRoute standard 94.3
llama-3.2-1b T4:FuncRoute batch 96.8
llama-3.2-1b T5:Code interactive 0.0
llama-3.2-1b T5:Code standard 44.8
llama-3.2-1b T5:Code batch 99.0
llama-3.2-3b T1:Intent interactive 0.0
llama-3.2-3b T1:Intent standard 92.6
llama-3.2-3b T1:Intent batch 93.0
llama-3.2-3b T2:QA interactive 0.0
llama-3.2-3b T2:QA standard 0.0
llama-3.2-3b T2:QA batch 48.8
llama-3.2-3b T3:Tools interactive 0.0
llama-3.2-3b T3:Tools standard 70.7
llama-3.2-3b T3:Tools batch 83.7
llama-3.2-3b T4:FuncRoute interactive 0.0
llama-3.2-3b T4:FuncRoute standard 76.2
llama-3.2-3b T4:FuncRoute batch 98.0
llama-3.2-3b T5:Code interactive 0.0
llama-3.2-3b T5:Code standard 0.0
llama-3.2-3b T5:Code batch 72.8
qwen2.5-3b T1:Intent interactive 0.0
qwen2.5-3b T1:Intent standard 94.4
qwen2.5-3b T1:Intent batch 95.2
qwen2.5-3b T2:QA interactive 0.0
qwen2.5-3b T2:QA standard 0.0
qwen2.5-3b T2:QA batch 33.0
qwen2.5-3b T3:Tools interactive 0.0
qwen2.5-3b T3:Tools standard 83.7
qwen2.5-3b T3:Tools batch 99.3
qwen2.5-3b T4:FuncRoute interactive 0.0
qwen2.5-3b T4:FuncRoute standard 71.7
qwen2.5-3b T4:FuncRoute batch 99.3
qwen2.5-3b T5:Code interactive 0.0
qwen2.5-3b T5:Code standard 0.2
qwen2.5-3b T5:Code batch 73.5
phi-3-mini T1:Intent interactive 0.0
phi-3-mini T1:Intent standard 77.8
phi-3-mini T1:Intent batch 79.2
